"Administrative Law Judges, Adjudicators, and Hearing Officers",117810
"Arbitrators, Mediators, and Conciliators",97430
"Judges, Magistrate Judges, and Magistrates",178700
Paralegals and Legal Assistants,61240
Court Reporters,87750
"Title Examiners, Abstractors, and Searchers",58180
"Legal Support Workers, All Other",56420
"Education, Training, and Library Occupations",66050
"Business Teachers, Postsecondary",137530
"Computer Science Teachers, Postsecondary",140720
"Mathematical Science Teachers, Postsecondary",127480
"Architecture Teachers, Postsecondary",98610
"Engineering Teachers, Postsecondary",129790
"Agricultural Sciences Teachers, Postsecondary",97290
"Biological Science Teachers, Postsecondary",128370
"Forestry and Conservation Science Teachers, Postsecondary",133470
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",124250
"Chemistry Teachers, Postsecondary",116530
"Environmental Science Teachers, Postsecondary",135840
"Physics Teachers, Postsecondary",138250
"Anthropology and Archeology Teachers, Postsecondary",115610
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",96200
"Economics Teachers, Postsecondary",139050
"Political Science Teachers, Postsecondary",112360
"Psychology Teachers, Postsecondary",117990
"Sociology Teachers, Postsecondary",103600
"Social Sciences Teachers, Postsecondary, All Other",147680
"Health Specialties Teachers, Postsecondary",161770
"Nursing Instructors and Teachers, Postsecondary",101320
"Education Teachers, Postsecondary",84160
"Library Science Teachers, Postsecondary",99110
"Criminal Justice and Law Enforcement Teachers, Postsecondary",111240
"Law Teachers, Postsecondary",136920
"Social Work Teachers, Postsecondary",110020
"Art, Drama, and Music Teachers, Postsecondary",115460
"English Language and Literature Teachers, Postsecondary",114110
"Foreign Language and Literature Teachers, Postsecondary",114690
"History Teachers, Postsecondary",103940
"Philosophy and Religion Teachers, Postsecondary",114370
Graduate Teaching Assistants,36350
"Home Economics Teachers, Postsecondary",93960
"Recreation and Fitness Studies Teachers, Postsecondary",114220
"Vocational Education Teachers, Postsecondary",71280
"Preschool Teachers, Except Special Education",37850
"Kindergarten Teachers, Except Special Education",69690
"Elementary School Teachers, Except Special Education",80100
"Middle School Teachers, Except Special and Career/Technical Education",75660
"Career/Technical Education Teachers, Middle School",57790
"Secondary School Teachers, Except Special and Career/Technical Education",80510
"Career/Technical Education Teachers, Secondary School",77580
"Special Education Teachers, Preschool",47870
"Special Education Teachers, Kindergarten and Elementary School",80370
"Special Education Teachers, Middle School",76860
"Special Education Teachers, Secondary School",82380
"Special Education Teachers, All Other",66640
Adult Basic and Secondary Education and Literacy Teachers and Instructors,77280
Self-Enrichment Education Teachers,48510
"Teachers and Instructors, All Other, Except Substitute Teachers",52060
Substitute Teachers,42010
Archivists,72240
Curators,67650
Museum Technicians and Conservators,48120
Librarians,81580
Library Technicians,45750
Audio-Visual and Multimedia Collections Specialists,51270
Instructional Coordinators,80860
Teacher Assistants,35350
"Education, Training, and Library Workers, All Other",50110
"Arts, Design, Entertainment, Sports, and Media Occupations",72750
Art Directors,127630
Craft Artists,48280
"Fine Artists, Including Painters, Sculptors, and Illustrators",76230
Multimedia Artists and Animators,87960
"Artists and Related Workers, All Other",70260
Commercial and Industrial Designers,77580
Fashion Designers,95250
Floral Designers,34020
Graphic Designers,61100
Interior Designers,68440
Merchandise Displayers and Window Trimmers,33720
Set and Exhibit Designers,67520
"Designers, All Other",85240
Producers and Directors,115080
Athletes and Sports Competitors,125160
Coaches and Scouts,45600
"Umpires, Referees, and Other Sports Officials",32780
Choreographers,70020
Music Directors and Composers,64600
Radio and Television Announcers,78840
Public Address System and Other Announcers,42130
Broadcast News Analysts,102480
Reporters and Correspondents,67820
Public Relations Specialists,72910
Editors,78150
Technical Writers,91310
Writers and Authors,96910
Interpreters and Translators,58180
"Media and Communication Workers, All Other",55580
Audio and Video Equipment Technicians,56710
Broadcast Technicians,46140
Photographers,52720
"Camera Operators, Television, Video, and Motion Picture",77540
Film and Video Editors,112530
"Media and Communication Equipment Workers, All Other",82490
Healthcare Practitioners and Technical Occupations,98910
Chiropractors,80550
"Dentists, General",151490
Oral and Maxillofacial Surgeons,264380
Orthodontists,197390
"Dentists, All Other Specialists",184140
Dietitians and Nutritionists,74060
Optometrists,117180
Pharmacists,139690
Anesthesiologists,288420
Family and General Practitioners,197860
"Internists, General",207050
Obstetricians and Gynecologists,216800
"Pediatricians, General",185910
Psychiatrists,255790
Surgeons,221490
"Physicians and Surgeons, All Other",208740
Physician Assistants,117230
Podiatrists,120750
Occupational Therapists,95160
Physical Therapists,97110
Radiation Therapists,114280
Recreational Therapists,75810
Respiratory Therapists,79640
Speech-Language Pathologists,93510
Exercise Physiologists,89030
"Therapists, All Other",63060
Veterinarians,121750
Registered Nurses,106950
Nurse Anesthetists,212210
Nurse Midwives,139990
Nurse Practitioners,133780
Audiologists,100960
"Health Diagnosing and Treating Practitioners, All Other",74080
Clinical Laboratory Technologists and Technicians,60530
Dental Hygienists,100830
Cardiovascular Technologists and Technicians,72960
Diagnostic Medical Sonographers,92660
Nuclear Medicine Technologists,112040
Radiologic Technologists,81060
